,Site,Transect,Date,Genus,Species,Size,Count,Phase,Notes,Observer,Year,log_a_coef,b_coef,biomass_g
1,Alligator,1,8/23/2022,Sparisoma,viride,22,1,Initial,NA,ML,2022,-4.5223,2.9214,209.3406748
2,Alligator,1,8/23/2022,Sparisoma,viride,17,1,Initial,NA,ML,2022,-4.5223,2.9214,98.56744039
3,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,18,1,Terminal,NA,ML,2022,-5.7587,3.4291,94.37456161
4,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,ML,2022,-5.7587,3.4291,39.8646217
5,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,10,1,Initial,NA,ML,2022,-5.7587,3.4291,12.57476854
6,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,11,1,Initial,NA,ML,2022,-5.7587,3.4291,17.43571079
7,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,NA,ML,2022,-5.7587,3.4291,23.49743251
8,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,NA,ML,2022,-5.7587,3.4291,23.49743251
9,Alligator,1,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,NA,ML,2022,-5.7587,3.4291,23.49743251
10,Alligator,1,8/23/2022,Sparisoma,chrysopterum,20,1,Initial,NA,ML,2022,-5.1754,3.1708,132.04012
11,Alligator,1,8/23/2022,Sparisoma,chrysopterum,27,1,Terminal,NA,ML,2022,-5.1754,3.1708,341.9544214
12,Alligator,1,8/23/2022,Sparisoma,rubripinne,28,1,Terminal,NA,ML,2022,-4.8701,3.0641,424.851273
13,Alligator,2,8/23/2022,Scarus,iseri,15,1,Terminal,NA,ML,2022,-4.8887,3.0548,57.38832884
14,Alligator,2,8/23/2022,Scarus,iseri,10,1,Initial,NA,ML,2022,-4.8887,3.0548,16.6302968
15,Alligator,2,8/23/2022,Sparisoma,aurofrenatum,16,1,Terminal,NA,ML,2022,-5.7587,3.4291,63.01556471
16,Alligator,2,8/23/2022,Sparisoma,aurofrenatum,17,1,Terminal,NA,ML,2022,-5.7587,3.4291,77.57689558
17,Alligator,2,8/23/2022,Sparisoma,chrysopterum,30,1,Initial,NA,ML,2022,-5.1754,3.1708,477.5909344
18,Alligator,3,8/23/2022,Scarus,iseri,10,1,Initial,NA,ML,2022,-4.8887,3.0548,16.6302968
19,Alligator,3,8/23/2022,Scarus,iseri,10,1,Initial,NA,ML,2022,-4.8887,3.0548,16.6302968
20,Alligator,3,8/23/2022,Scarus,iseri,15,1,Terminal,NA,ML,2022,-4.8887,3.0548,57.38832884
21,Alligator,3,8/23/2022,Sparisoma,aurofrenatum,13,1,Initial,NA,ML,2022,-5.7587,3.4291,30.91883698
22,Alligator,3,8/23/2022,Sparisoma,aurofrenatum,13,1,Initial,NA,ML,2022,-5.7587,3.4291,30.91883698
23,Alligator,3,8/23/2022,Sparisoma,chrysopterum,18,1,Initial,NA,ML,2022,-5.1754,3.1708,94.54053577
24,Alligator,3,8/23/2022,Sparisoma,viride,11,1,Initial,NA,ML,2022,-4.5223,2.9214,27.6327807
25,Alligator,3,8/23/2022,Sparisoma,rubripinne,20,1,Initial,NA,ML,2022,-4.8701,3.0641,151.5255991
26,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,16,1,Terminal,NA,ML,2022,-5.7587,3.4291,63.01556471
27,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,17,1,Terminal,NA,ML,2022,-5.7587,3.4291,77.57689558
28,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,NA,ML,2022,-5.7587,3.4291,23.49743251
29,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,13,1,Initial,NA,ML,2022,-5.7587,3.4291,30.91883698
30,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,15,1,Initial,NA,ML,2022,-5.7587,3.4291,50.50501872
31,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,15,1,Initial,NA,ML,2022,-5.7587,3.4291,50.50501872
32,Alligator,4,8/23/2022,Sparisoma,aurofrenatum,11,1,Initial,NA,ML,2022,-5.7587,3.4291,17.43571079
33,Alligator,4,8/23/2022,Sparisoma,rubripinne,17,1,Initial,NA,ML,2022,-4.8701,3.0641,92.09128649
34,Alligator,4,8/23/2022,Sparisoma,chrysopterum,16,1,Terminal,NA,ML,2022,-5.1754,3.1708,65.07641814
35,Alligator,4,8/23/2022,Sparisoma,chrysopterum,21,1,Terminal,NA,ML,2022,-5.1754,3.1708,154.1320447
36,Alligator,4,8/23/2022,Sparisoma,chrysopterum,16,1,Initial,NA,ML,2022,-5.1754,3.1708,65.07641814
37,Alligator,4,8/23/2022,Sparisoma,chrysopterum,17,1,Initial,NA,ML,2022,-5.1754,3.1708,78.86920078
38,Alligator,4,8/23/2022,Sparisoma,chrysopterum,15,1,Initial,NA,ML,2022,-5.1754,3.1708,53.03348467
39,Alligator,4,8/23/2022,Sparisoma,chrysopterum,15,1,Initial,NA,ML,2022,-5.1754,3.1708,53.03348467
40,Alligator,4,8/23/2022,Sparisoma,viride,15,1,Initial,NA,ML,2022,-4.5223,2.9214,68.38061528
41,Alligator,5,8/23/2022,Sparisoma,viride,15,1,Initial,NA,ML,2022,-4.5223,2.9214,68.38061528
42,Alligator,5,8/23/2022,Sparisoma,viride,12,1,Initial,NA,ML,2022,-4.5223,2.9214,35.63035031
43,Alligator,5,8/23/2022,Sparisoma,viride,11,1,Initial,NA,ML,2022,-4.5223,2.9214,27.6327807
44,Alligator,5,8/23/2022,Scarus,coelestinus,37,1,Terminal,NA,ML,2022,-4.8764,3.0618,970.3312957
45,Alligator,5,8/23/2022,Scarus,taeniopterus,22,1,Initial,NA,ML,2022,-4.1836,2.7086,144.9059016
46,Alligator,5,8/23/2022,Scarus,taeniopterus,32,1,Terminal,NA,ML,2022,-4.1836,2.7086,399.8059299
47,Alligator,5,8/23/2022,Sparisoma,chrysopterum,21,1,Initial,NA,ML,2022,-5.1754,3.1708,154.1320447
48,Alligator,5,8/23/2022,Sparisoma,chrysopterum,22,1,Initial,NA,ML,2022,-5.1754,3.1708,178.6297689
49,Alligator,5,8/23/2022,Sparisoma,rubripinne,20,1,Initial,NA,ML,2022,-4.8701,3.0641,151.5255991
50,Alligator,5,8/23/2022,Sparisoma,rubripinne,18,1,Initial,NA,ML,2022,-4.8701,3.0641,109.718657
51,Alligator,5,8/23/2022,Scarus,iseri,12,1,Terminal,NA,ML,2022,-4.8887,3.0548,29.02571124
52,Alligator,6,8/23/2022,Sparisoma,aurofrenatum,17,1,Terminal,NA,AAS,2022,-5.7587,3.4291,77.57689558
53,Alligator,6,8/23/2022,Sparisoma,viride,10,1,Initial,NA,AAS,2022,-4.5223,2.9214,20.91702907
54,Alligator,7,8/23/2022,Sparisoma,rubripinne,16,1,Initial,NA,AAS,2022,-4.8701,3.0641,76.4793237
55,Alligator,7,8/23/2022,Sparisoma,rubripinne,18,1,Initial,NA,AAS,2022,-4.8701,3.0641,109.718657
56,Alligator,7,8/23/2022,Sparisoma,rubripinne,15,1,Initial,NA,AAS,2022,-4.8701,3.0641,62.75686304
57,Alligator,7,8/23/2022,Sparisoma,rubripinne,13,1,Initial,NA,AAS,2022,-4.8701,3.0641,40.47937755
58,Alligator,7,8/23/2022,Sparisoma,chrysopterum,12,1,Initial,NA,AAS,2022,-5.1754,3.1708,26.13773166
59,Alligator,7,8/23/2022,Sparisoma,chrysopterum,15,1,Initial,NA,AAS,2022,-5.1754,3.1708,53.03348467
60,Alligator,7,8/23/2022,Sparisoma,chrysopterum,19,1,Initial,NA,AAS,2022,-5.1754,3.1708,112.2204273
61,Alligator,7,8/23/2022,Sparisoma,chrysopterum,21,1,Terminal,NA,AAS,2022,-5.1754,3.1708,154.1320447
62,Alligator,7,8/23/2022,Sparisoma,chrysopterum,22,1,Initial,NA,AAS,2022,-5.1754,3.1708,178.6297689
63,Alligator,7,8/23/2022,Sparisoma,chrysopterum,18,1,Terminal,NA,AAS,2022,-5.1754,3.1708,94.54053577
64,Alligator,7,8/23/2022,Scarus,coelestinus,36,1,Terminal,NA,AAS,2022,-4.8764,3.0618,892.2509044
65,Alligator,7,8/23/2022,Scarus,iseri,14,1,Initial,NA,AAS,2022,-4.8887,3.0548,46.48276173
